,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'Cheese'}),frozenset({'Milk'}),0.5015873015873016,0.5015873015873016,0.3047619047619048,0.6075949367088608,1.211344335843615,1.0,0.05317208364827414,1.2701484895033284,0.35005307855626333,0.43636363636363645,0.2126904781101347,0.6075949367088608
1,frozenset({'Milk'}),frozenset({'Cheese'}),0.5015873015873016,0.5015873015873016,0.3047619047619048,0.6075949367088608,1.211344335843615,1.0,0.05317208364827414,1.2701484895033284,0.35005307855626333,0.43636363636363645,0.2126904781101347,0.6075949367088608
2,frozenset({'Bagel'}),frozenset({'Bread'}),0.4253968253968254,0.5047619047619047,0.27936507936507937,0.6567164179104478,1.3010419600112646,1.0,0.06464096749811038,1.4426501035196688,0.40268709191361146,0.4292682926829268,0.3068312284730196,0.6050877687036516
3,frozenset({'Eggs'}),frozenset({'Meat'}),0.4380952380952381,0.47619047619047616,0.26666666666666666,0.6086956521739131,1.2782608695652176,1.0,0.05804988662131519,1.3386243386243388,0.387409200968523,0.411764705882353,0.25296442687747045,0.5843478260869566
4,frozenset({'Eggs'}),frozenset({'Cheese'}),0.4380952380952381,0.5015873015873016,0.2984126984126984,0.6811594202898551,1.3580077050082555,1.0,0.07866969009826152,1.5632034632034633,0.4691669671835557,0.46534653465346537,0.36028800886181117,0.6380480645753073
5,frozenset({'Cheese'}),frozenset({'Meat'}),0.5015873015873016,0.47619047619047616,0.3238095238095238,0.6455696202531646,1.3556962025316457,1.0,0.0849584278155707,1.4778911564625852,0.5264143874110155,0.4951456310679613,0.3233601841196778,0.6627848101265823
6,frozenset({'Meat'}),frozenset({'Cheese'}),0.47619047619047616,0.5015873015873016,0.3238095238095238,0.68,1.3556962025316457,1.0,0.0849584278155707,1.5575396825396828,0.500891265597148,0.4951456310679613,0.35796178343949053,0.6627848101265823
7,frozenset({'Wine'}),frozenset({'Cheese'}),0.4380952380952381,0.5015873015873016,0.2698412698412698,0.6159420289855072,1.2279856906989544,1.0,0.05009826152683294,1.2977538185085353,0.3304087736789631,0.40284360189573454,0.22943782885627242,0.5769583562649054
8,"frozenset({'Cheese', 'Milk'})",frozenset({'Meat'}),0.3047619047619048,0.47619047619047616,0.20317460317460317,0.6666666666666666,1.4,1.0,0.05804988662131519,1.5714285714285714,0.410958904109589,0.3516483516483517,0.3636363636363636,0.5466666666666666
9,"frozenset({'Cheese', 'Meat'})",frozenset({'Milk'}),0.3238095238095238,0.5015873015873016,0.20317460317460317,0.6274509803921569,1.2509307520476545,1.0,0.040755857898715026,1.337844611528822,0.29665492957746464,0.32653061224489793,0.25252903709254404,0.5162571357656986
10,"frozenset({'Milk', 'Meat'})",frozenset({'Cheese'}),0.24444444444444444,0.5015873015873016,0.20317460317460317,0.8311688311688312,1.657077100115075,1.0,0.08056437389770724,2.952136752136753,0.5248161764705883,0.3742690058479532,0.6612623045744066,0.6181160611540358
11,"frozenset({'Cheese', 'Eggs'})",frozenset({'Meat'}),0.2984126984126984,0.47619047619047616,0.21587301587301588,0.723404255319149,1.5191489361702128,1.0,0.07377173091458808,1.8937728937728942,0.4870907639073731,0.38636363636363646,0.47195357833655716,0.5883687943262412
12,"frozenset({'Cheese', 'Meat'})",frozenset({'Eggs'}),0.3238095238095238,0.4380952380952381,0.21587301587301588,0.6666666666666666,1.5217391304347825,1.0,0.07401360544217689,1.6857142857142855,0.5070422535211269,0.39534883720930236,0.40677966101694907,0.5797101449275363
13,"frozenset({'Eggs', 'Meat'})",frozenset({'Cheese'}),0.26666666666666666,0.5015873015873016,0.21587301587301588,0.8095238095238095,1.6139240506329113,1.0,0.08211640211640214,2.6166666666666667,0.518716577540107,0.3908045977011495,0.6178343949044586,0.6199517781796263
